timestamp,methane
2024-12-03 04:55:35.416832+00:00,0.0
2024-12-03 04:56:35.527460+00:00,0.0
2024-12-03 04:57:35.676618+00:00,0.0
2024-12-03 04:58:35.885156+00:00,0.0
2024-12-03 04:59:35.908638+00:00,0.0
2024-12-03 05:00:36.034590+00:00,0.0
2024-12-03 05:01:36.154458+00:00,0.0
2024-12-03 05:02:36.328193+00:00,0.0
2024-12-03 05:03:36.409008+00:00,0.0
2024-12-03 05:04:36.529166+00:00,0.0
2024-12-03 05:05:36.649398+00:00,0.0
2024-12-03 05:06:36.775731+00:00,0.0
2024-12-03 05:07:37.067675+00:00,0.0
2024-12-03 05:08:37.097516+00:00,0.0
2024-12-03 05:09:37.207470+00:00,0.0
2024-12-03 05:10:37.317546+00:00,0.0
2024-12-03 05:11:37.441382+00:00,0.0
2024-12-03 05:12:37.538995+00:00,0.0
2024-12-03 05:13:37.754203+00:00,0.0
2024-12-03 05:14:37.862818+00:00,0.0
2024-12-03 05:15:38.058976+00:00,0.0
2024-12-03 05:16:38.085154+00:00,3.0
2024-12-03 05:17:38.194682+00:00,5.0
2024-12-03 05:18:38.274294+00:00,8.0
2024-12-03 05:19:38.427413+00:00,15.0
2024-12-03 05:20:38.527686+00:00,10.0
2024-12-03 05:21:49.185732+00:00,12.0
2024-12-03 05:22:51.142144+00:00,16.0
2024-12-03 05:23:52.174765+00:00,7.0
2024-12-03 05:24:53.004012+00:00,16.0
2024-12-03 05:25:53.140811+00:00,20.0
2024-12-03 05:26:53.223528+00:00,18.0
2024-12-03 05:27:53.304059+00:00,21.0
2024-12-03 05:28:53.440931+00:00,16.0
2024-12-03 05:30:02.691374+00:00,11.0
2024-12-03 05:31:03.703224+00:00,28.0
2024-12-03 05:32:03.792789+00:00,17.0
2024-12-03 05:33:03.914178+00:00,23.0
2024-12-03 05:34:04.033577+00:00,16.0
2024-12-03 05:35:16.765635+00:00,29.0
2024-12-03 05:36:17.294453+00:00,29.0
2024-12-03 05:37:17.473733+00:00,34.0
2024-12-03 05:38:17.494189+00:00,34.0
2024-12-03 05:39:17.695173+00:00,35.0
2024-12-03 05:40:17.808681+00:00,35.0
2024-12-03 05:41:17.860769+00:00,37.0
2024-12-03 05:42:18.114477+00:00,31.0
2024-12-03 05:43:18.140372+00:00,38.0
2024-12-03 05:44:18.252266+00:00,42.0
2024-12-03 05:45:18.361735+00:00,34.0
2024-12-03 05:46:18.465906+00:00,27.0
2024-12-03 05:47:21.799031+00:00,46.0
2024-12-03 05:48:22.696239+00:00,43.0
2024-12-03 05:49:22.824629+00:00,38.0
2024-12-03 05:50:23.012372+00:00,45.0
2024-12-03 05:51:23.068676+00:00,46.0
2024-12-03 05:52:23.194097+00:00,47.0
2024-12-03 05:53:23.334295+00:00,35.0
2024-12-03 05:54:23.440250+00:00,30.0
2024-12-03 05:55:29.847779+00:00,42.0
2024-12-03 05:56:30.845749+00:00,49.0
2024-12-03 05:57:30.853757+00:00,50.0
2024-12-03 05:58:30.932628+00:00,43.0
2024-12-03 05:59:51.104910+00:00,16.0
2024-12-03 06:00:51.260524+00:00,53.0
2024-12-03 06:01:51.372231+00:00,54.0
2024-12-03 06:02:51.452233+00:00,50.0
