timestamp,methane
2024-12-03 04:55:35.416832+00:00,0.0
2024-12-03 04:58:35.885156+00:00,0.0
2024-12-03 05:01:36.154458+00:00,0.0
2024-12-03 05:04:36.529166+00:00,0.0
2024-12-03 05:07:37.067675+00:00,0.0
2024-12-03 05:10:37.317546+00:00,0.0
2024-12-03 05:13:37.754203+00:00,0.0
2024-12-03 05:16:38.085154+00:00,3.0
2024-12-03 05:19:38.427413+00:00,15.0
2024-12-03 05:22:40.087356+00:00,16.0
2024-12-03 05:25:41.131343+00:00,16.0
2024-12-03 05:28:41.663598+00:00,22.0
2024-12-03 05:31:41.746448+00:00,26.0
2024-12-03 05:34:42.093415+00:00,29.0
2024-12-03 05:37:45.146420+00:00,38.0
2024-12-03 05:40:45.787084+00:00,34.0
2024-12-03 05:43:46.199162+00:00,41.0
2024-12-03 05:46:46.516405+00:00,34.0
2024-12-03 05:49:47.000374+00:00,42.0
2024-12-03 05:52:47.301741+00:00,48.0
2024-12-03 05:55:47.594361+00:00,48.0
2024-12-03 05:58:47.965940+00:00,48.0
2024-12-03 06:01:48.362617+00:00,54.0
